id,ud_test_head,ud_test_deprel,ud_test_deps_id,ud_test_deps_deprel,ud_pred_head,ud_pred_deprel,ud_pred_deps_id,ud_pred_deps_deprel,str_test_head,str_test_deprel,str_test_deps_id,str_test_deps_deprel,str_pred_head,str_pred_deprel,str_pred_deps_id,str_pred_deps_deprel,text,sent_id
27,3,conj,"[25, 26, 30]","['cc', 'det', 'csubj']",3,conj,"[24, 25, 26, 30]","['punct', 'cc', 'nsubj', 'advcl']",25,соч-союзн,"[26, 29]","['опред', 'предик']",25,соч-союзн,"[26, 29]","['опред', 'предик']","Но одно дело, когда из Москвы перемещаешься в Нью-Йорк (хотя и в этом случае вписаться в новую культуру довольно сложно), а другое - когда делаешь выбор в пользу маленького городка на ""Диком Западе"" с населением 14 тысяч человек.",53_2018V_strane_mormonov
24,23,xcomp,[26],['obl'],23,xcomp,[26],['obl'],23,1-компл,[25],['3-компл'],23,1-компл,[25],['1-компл'],"Стоит мне взяться за что-нибудь серьезное, как я вижу лицо читателя с выражением добродетельного терпения, ждущего, когда я наконец начну про смешное.",227_2018Nachalo
5,2,ccomp,"[4, 7, 12]","['nsubj', 'iobj', 'parataxis']",4,nmod,[],[],2,1-компл,"[4, 7, 12]","['предик', '2-компл', '1-компл']",4,punct,[],[],"Вдруг слышу, командир второму пилоту: ""Куда она делась?",528_2020_Corpus2_0Kakie_nashi_gody_1
16,3,conj,"[12, 13, 14, 17]","['cc', 'nsubj', 'iobj', 'obj']",3,conj,"[12, 13, 14, 17]","['cc', 'nsubj', 'iobj', 'obl']",12,соч-союзн,"[13, 14, 17]","['предик', '2-компл', '1-компл']",12,соч-союзн,"[13, 14, 17]","['предик', '2-компл', '1-компл']","Я ему дал ""Приключения Шерлока Холмса"" Конан Дойля, а он мне - один из разрозненных томов Гегеля, ""Лекции по эстетике"".",124_2018Nachalo
23,17,conj,"[21, 24]","['nsubj', 'obj']",24,punct,[],[],17,сент-соч,"[21, 24, 28]","['предик', '1-компл', 'сент-соч']",24,punct,[],[],"Машина создана для резания бумаги в типографии, но встречается в самых неожиданных местах: химики режут ею пластмассу, мебельщики - шпон, галантерейщики - толстый картон для чемоданов.",20_uppsalaKorp_611
28,17,conj,"[26, 30]","['nsubj', 'obj']",30,punct,[],[],23,сент-соч,"[26, 30]","['предик', '1-компл']",26,punct,[],[],"Машина создана для резания бумаги в типографии, но встречается в самых неожиданных местах: химики режут ею пластмассу, мебельщики - шпон, галантерейщики - толстый картон для чемоданов.",20_uppsalaKorp_611
13,1,conj,"[11, 12, 22]","['cc', 'nsubj', 'parataxis']",9,conj,"[10, 11, 12, 22]","['punct', 'cc', 'nsubj', 'parataxis']",11,соч-союзн,"[12, 22]","['предик', '1-компл']",11,соч-союзн,"[10, 12, 22]","['punct', 'предик', 'разъяснит']","Думаю: Господи, хоть бы бабушку не задавило, а она :""Я, милая моя, хорошо живу, избушка хоть и худенька, да своя.",203_2012Poslednie_russkie
29,22,obl,[27],['compound'],32,amod,[27],['compound'],26,квазиагент,"[27, 30]","['композ', 'сочин']",32,опред,"[27, 30]","['композ', 'сочин']","Руководитель проекта HEND доктор физико-математических наук Игорь Митрофанов рассказал ""Итогам"" о тех сенсационных результатах, которые недавно удалось получить исследователям с помощью гамма - и нейтронной спектроскопии Марса:",38_2003Taina_zakovannaya_v_led
13,4,conj,"[11, 12, 15]","['cc', 'advmod', 'advmod']",15,punct,[],[],11,соч-союзн,"[12, 15]","['обст', 'обст']",15,огранич,[],[],"Первое, что поражает на Бали уже в аэропорту, а дальше все больше и больше, - рукотворная красота.",597_2020_RFFIIndoneziya_ot_ada_do_raya
15,10,conj,"[14, 17]","['cc', 'obl']",11,conj,"[14, 17]","['cc', 'obl']",14,соч-союзн,[16],['2-компл'],14,соч-союзн,[16],['2-компл'],"- Раньше, когда подростком был, я часто ходил охотиться на уток и на рыбалку.",334_2020_Corpus2_0Gastronomicheskie_khroniki
18,15,advcl,"[17, 21]","['mark', 'obl']",15,advcl,"[17, 21]","['mark', 'obl']",17,сравн-союзн,[20],['3-компл'],17,сравн-союзн,[20],['3-компл'],"Об этом самом освобождении женщин из многолетнего рабства у своих же соотечественников, много писали, как и о том, что теперь движение этой истории упирается в противодействие повязанной с преступниками полиции и всей судебной системы, готовой в лучшем случае замять дело.",8_2016Migranty_ekspaty_kosmopolity
8,12,advcl,"[6, 7, 10]","['mark', 'nsubj', 'obl']",12,advcl,"[5, 6, 7, 10]","['punct', 'mark', 'nsubj', 'obl']",6,сравн-союзн,"[7, 9]","['предик', '1-компл']",6,сравн-союзн,"[7, 9]","['предик', '1-компл']","Когда из-под развевающейся ткани, будто беженцы из укрытия, высыпают персонажи с колясками, перевязанными веревкой чемоданами и ""сбиваются"" в такую знакомую, щемящую мизансцену, понимаешь, что у изгнаний было начало, но нет конца.",53_2003Bessonnitsa
29,30,advmod,"[26, 27]","['cc', 'nsubj']",32,punct,[],[],30,огранич,[],[],32,punct,[],[],"Подкорректировать - да, со временем вполне вероятно, что и происходит, приводя к жутким последствиям, где мальчики не ощущают себя мальчиками, а девочки - девочками.",71_2019Sekta_radikalnogo_feminizma
30,22,conj,"[29, 31, 32]","['advmod', 'obj', 'xcomp']",32,punct,[31],['punct'],26,соч-союзн,"[27, 29, 31, 32]","['предик', 'огранич', '1-компл', '2-компл']",32,punct,[],[],"Подкорректировать - да, со временем вполне вероятно, что и происходит, приводя к жутким последствиям, где мальчики не ощущают себя мальчиками, а девочки - девочками.",71_2019Sekta_radikalnogo_feminizma
31,30,obj,[],[],30,punct,[],[],30,1-компл,[],[],32,punct,[],[],"Подкорректировать - да, со временем вполне вероятно, что и происходит, приводя к жутким последствиям, где мальчики не ощущают себя мальчиками, а девочки - девочками.",71_2019Sekta_radikalnogo_feminizma
11,5,conj,"[9, 10, 14]","['cc', 'advmod', 'obl']",5,conj,"[9, 10, 14]","['cc', 'advmod', 'obl']",9,соч-союзн,"[10, 12]","['обст', '2-компл']",9,соч-союзн,"[10, 12]","['обст', '2-компл']",Но я как штык являлась на английскую литературу и потом на нашу пятницу.,157_2020_Corpus2_0Peredacha
35,27,conj,"[36, 38]","['obj', 'iobj']",36,advmod,[],[],31,сочин,"[36, 38, 40]","['1-компл', '2-компл', 'сочин']",36,огранич,[],[],"В 1917 году трудящиеся пошли за партией Ленина, поскольку из всех многочисленных политических партий страны только большевики готовы были сражаться за выстраданные народом требования: прекратить империалистическую войну, передать власть Советам, землю - крестьянам, фабрики и заводы - рабочим, предоставить каждой нации право на самоопределение.",7_uppsalaKorp_725
40,27,conj,"[41, 45]","['obj', 'iobj']",41,advmod,[],[],35,сочин,"[41, 45]","['1-компл', '2-компл']",41,огранич,[],[],"В 1917 году трудящиеся пошли за партией Ленина, поскольку из всех многочисленных политических партий страны только большевики готовы были сражаться за выстраданные народом требования: прекратить империалистическую войну, передать власть Советам, землю - крестьянам, фабрики и заводы - рабочим, предоставить каждой нации право на самоопределение.",7_uppsalaKorp_725
21,11,conj,"[20, 24, 30]","['cc', 'obl', 'advcl']",11,conj,"[20, 24, 30]","['cc', 'obl', 'advcl']",20,соч-союзн,"[22, 29]","['1-компл', 'обст']",20,соч-союзн,"[22, 29]","['1-компл', 'обст']","Таким образом, по оценке Валерия Петрова, держатели долларов недосчитались более 8 процентов, если хранили наличные, и от 1,5 процента до 4,5 процента, если имели вклады в ""зеленых"".",48_2003I_evro_takoi_molodoi
14,4,conj,"[10, 12, 18, 21]","['cc', 'obj', 'obl', 'obl']",4,conj,"[10, 12]","['cc', 'nsubj']",10,соч-союзн,"[12, 18, 20, 34]","['1-компл', '2-компл', 'обст', 'сент-соч']",10,соч-союзн,"[12, 18]","['предик', 'присвяз']","Поиск сущности я считаю занятием суетным и невозможным, а затраченные усилия - в равной мере тщетными как в случае с удалёнными небесными субстанциями, так и с ближайшими и элементарными; и мне кажется, что одинаково неведомы как субстанция Луны, так и Земли, как пятен на Солнце, так и обыкновенных облаков…",254_2012Galileo_Galilei
10,4,parataxis,"[7, 9, 11]","['advmod', 'advmod', 'advmod']",11,punct,[],[],4,1-компл,"[7, 9, 11]","['вводн', 'обст', '1-компл']",11,punct,[],[],"Коржавин злился, отвечал: ""Нет, так лучше"" - и шел дальше.",264_2020_Corpus2_0Kakie_nashi_gody_1
23,24,cop,[],[],22,punct,[],[],21,соч-союзн,"[22, 24]","['предик', 'присвяз']",24,punct,[],[],"- Слушай, Га-Ноцри, - заговорил прокуратор, глядя на Иешуа как-то странно: лицо прокуратора было грозно, но глаза тревожны, - ты когда-либо говорил что-нибудь о великом кесаре?",246_2018Pontii_Pilat
13,3,conj,"[10, 14]","['nsubj', 'obl']",3,conj,"[10, 14]","['nsubj', 'obl']",3,сент-соч,"[10, 14]","['предик', '1-компл']",3,сент-соч,"[10, 14]","['предик', '2-компл']","Одаренные жизнью называются телами орудными, или органическими, прочие же - телами безорудными, или неорганическими"".",110_2011Petrushka
32,12,conj,"[28, 31, 35]","['cc', 'obl', 'nsubj']",12,conj,"[28, 31, 35]","['cc', 'obl', 'nsubj']",28,соч-союзн,"[29, 35]","['обст', 'предик']",28,соч-союзн,"[29, 35]","['обст', 'предик']","В составе СССР, в конце 30-х годов прошлого века Армения стала страной сплошной грамотности, а в 1940 году было введено обязательное всеобщее семилетнее обучение, а спустя 19 лет всеобщее восьмилетнее обучение.",13_2003Armeniya
8,12,cc,"[7, 9, 15, 18]","['cc', 'obj', 'obl', 'obl']",6,conj,"[7, 9, 10, 15]","['cc', 'punct', 'obl', 'obl']",7,соч-союзн,"[9, 13, 16]","['1-компл', '2-компл', 'обст']",7,соч-союзн,[9],['punct'],Вместо него я получил золотую медаль и зонтиком по шее от его мамаши на выпускном вечере.,103_2018Nachalo
9,8,obj,"[10, 12]","['nmod', 'nmod']",8,punct,[],[],8,1-компл,"[10, 11]","['3-компл', '1-компл']",8,punct,[],[],Вместо него я получил золотую медаль и зонтиком по шее от его мамаши на выпускном вечере.,103_2018Nachalo
10,7,parataxis,"[9, 12]","['cc', 'advmod']",12,punct,[],[],9,соч-союзн,[12],['обст'],12,punct,[],[],"Из-за того, что этот рассказ забыт (и совершенно справедливо), я перескажу его содержание.",92_2020_Corpus2_0Poslannik_iz_proshlogo
16,12,parataxis,"[14, 18]","['nsubj', 'obl']",18,advmod,[],[],12,разъяснит,"[14, 18, 20]","['предик', 'агент', 'сент-соч']",18,огранич,[],[],"Средства и способы создаются талантливыми учеными и высокопрофессиональными практиками, а реализуются: средства - военной промышленностью, а способы - военной наукой, военным образованием и боевым опытом.",43_2005Voennaya_doktrina
23,14,conj,"[20, 21, 25]","['cc', 'nsubj', 'obl']",25,cc,[],[],20,соч-союзн,"[21, 25]","['предик', 'агент']",20,соч-союзн,"[21, 25]","['предик', '1-компл']","Средства и способы создаются талантливыми учеными и высокопрофессиональными практиками, а реализуются: средства - военной промышленностью, а способы - военной наукой, военным образованием и боевым опытом.",43_2005Voennaya_doktrina
4,2,orphan,[6],['obl'],6,punct,[],[],0,root,"[2, 5]","['1-компл', '4-компл']",6,punct,[],[],- Взвода управления ко мне!,124_2003Baklanov
24,14,conj,"[19, 22, 25]","['cc', 'obl', 'nsubj']",10,conj,"[19, 22, 25]","['cc', 'obl', 'nsubj']",19,соч-союзн,"[20, 25]","['обст', 'предик']",19,соч-союзн,"[20, 25]","['обст', 'предик']","Не прошло и нескольких лет, как в нее уверовали далекие от науки сенаторы США, журналисты, а с их подачи - общественность и, что совсем удивительно, сам автор, который продолжал отстаивать ее даже тогда, когда ему доходчиво объяснили, что идея нереализуема в принципе.",113_2011Nano
21,10,conj,"[18, 23]","['obl', 'nsubj']",10,conj,"[18, 23]","['obl', 'nsubj']",10,сочин,"[16, 23]","['1-компл', 'предик']",10,сент-соч,"[16, 23]","['обст', 'предик']","Мы призываем к тому, чтобы в каждом институте было как можно больше аспирантов, у каждого доктора наук - не менее двух.",247_2006Dobretsov
15,12,parataxis,"[14, 17]","['nsubj', 'advmod']",14,flat:foreign,[],[],12,примыкат,"[14, 17]","['предик', 'обст']",14,punct,[],[],"Они все, разумеется, не случайны и имеют разную частоту встречаемости (the заметно чаще, чем, скажем, thh).",45_2010V_perevode_s_nebesnogo
3,0,root,"[1, 5, 7]","['nsubj', 'obl', 'advcl']",1,orphan,"[5, 7]","['obl', 'advcl']",0,root,"[1, 4, 7]","['предик', '1-компл', 'обст']",0,root,"[1, 4, 7]","['предик', '2-компл', 'обст']","Остальные - в кузов, свесив ноги за борт.",134_2020_Corpus2_0Gastronomicheskie_khroniki
14,11,conj,"[13, 16]","['nsubj', 'obl']",13,punct,[],[],11,сент-соч,"[13, 15, 21]","['предик', '1-компл', 'сент-соч']",13,punct,[],[],"Прочие молодцы из той же сельско-спортивной корпорации громко издевались, кто над червем в спирту, кто над черепом.",74_2018Poseshchenie_muzeya
21,11,conj,"[20, 23]","['nsubj', 'obl']",20,punct,[],[],14,сент-соч,"[20, 22]","['предик', '1-компл']",20,punct,[],[],"Прочие молодцы из той же сельско-спортивной корпорации громко издевались, кто над червем в спирту, кто над черепом.",74_2018Poseshchenie_muzeya
11,14,amod,[9],['compound'],9,nmod,[10],['punct'],14,опред,"[9, 12]","['композ', 'сочин']",14,опред,"[9, 10, 12]","['композ', 'punct', 'сочин']","Существуют шахматы для более чем двух игроков: трех- и четырехсторонние шахматы, в которых за одной доской играют три или четыре игрока (пара на пару или каждый за себя), управляющие каждый своим комплектом фигур, а также ""командные"" варианты шахмат, где игра ведется команда на команду на одной или нескольких досках, причем на ход партии за одной доской влияют действия более чем одного игрока из каждой команды (например, шведские шахматы).",301_2011Shakhmaty
9,5,conj,"[7, 8, 11]","['mark', 'obj', 'obl']",8,punct,[],[],7,соч-союзн,"[8, 10]","['1-компл', '2-компл']",8,punct,[],[],"То собак по району разыскиваем, то змею по клинике…",180_2020_Corpus2_0Milaya_reptiliya
17,22,cc,"[15, 16]","['cc', 'advmod']",18,punct,"[14, 15, 16]","['punct', 'cc', 'advmod']",15,соч-союзн,"[16, 18, 20]","['огранич', 'сочин', 'атриб']",15,соч-союзн,"[14, 16, 18, 19]","['punct', 'огранич', 'punct', 'punct']","Собственно, две рядом расположенные выставки в V&A были про империю и власть, но только в разные времена.",89_2019Kartinki_Imperii
18,19,conj,[],[],11,conj,"[17, 19]","['punct', 'punct']",17,сочин,[19],['соч-союзн'],17,punct,[],[],"Собственно, две рядом расположенные выставки в V&A были про империю и власть, но только в разные времена.",89_2019Kartinki_Imperii
19,19,conj,"[18, 19]","['conj', 'conj']",18,punct,[],[],18,соч-союзн,[],[],17,punct,[],[],"Собственно, две рядом расположенные выставки в V&A были про империю и власть, но только в разные времена.",89_2019Kartinki_Imperii
11,12,advmod,[],[],13,punct,[],[],12,огранич,[],[],13,punct,[12],['punct'],"Изредка Деревянко уезжал в командировки, а в отпуск - никогда.",171_2020_Corpus2_0Uchitel_slovesnosti
12,3,conj,"[7, 9, 11, 13]","['cc', 'obl', 'advmod', 'advmod']",13,punct,[],[],7,соч-союзн,"[8, 11, 13]","['2-компл', 'огранич', 'обст']",11,punct,[],[],"Изредка Деревянко уезжал в командировки, а в отпуск - никогда.",171_2020_Corpus2_0Uchitel_slovesnosti
11,2,conj,"[10, 12]","['iobj', 'csubj']",10,punct,[],[],2,сент-соч,"[10, 12]","['дат-субъект', 'предик']",10,punct,[],[],"- Нет, - сказал я терпеливо, - мне на философский.",165_2018Nachalo
12,11,csubj,[14],['obl'],10,punct,[],[],11,предик,[13],['2-компл'],10,punct,[],[],"- Нет, - сказал я терпеливо, - мне на философский.",165_2018Nachalo
12,5,conj,"[9, 10, 14]","['cc', 'nsubj', 'obl']",5,conj,"[9, 10, 14]","['cc', 'nsubj', 'obl']",9,соч-союзн,"[10, 13, 16]","['предик', 'присвяз', 'сент-соч']",9,соч-союзн,"[10, 13, 16]","['предик', 'обст', 'сент-соч']","Потому что тогда деньги останутся на Западе, а власть - в России, а на кой черт клептократии власть без денег?",21_2012Chto_delat_posle_24_dekabrya
18,12,conj,"[16, 17]","['cc', 'discourse']",17,punct,[],[],16,соч-союзн,[17],['огранич'],16,соч-союзн,[17],['огранич'],"Я не читал стенограмму и не могу с точностью утверждать, ссылался Сталин на Олешу или нет.",72_2003Lyubit_drakona
6,1,conj,"[4, 5]","['cc', 'advmod']",5,punct,[],[],4,соч-союзн,[5],['огранич'],5,punct,[],[],Несет это угрозу или нет?,148_2019Dvadtsat_let_defoltu
14,1,conj,"[11, 12, 16]","['cc', 'nsubj', 'obl']",1,conj,"[11, 12, 16]","['cc', 'nsubj', 'xcomp']",11,соч-союзн,"[12, 16]","['предик', '1-компл']",11,соч-союзн,"[12, 16]","['предик', 'присвяз']","Был ветер, и от этого небо казалось высоким, а солнце - необычно маленьким и далеким.",90_uppsalaBitov_1
