word,ud_test_head,ud_test_deprel,ud_preds_head,ud_preds_deprel,str_test_head,str_test_deprel,str_preds_head,str_preds_deprel,ellipsis
коих,33,nsubj,33,nsubj,32,предик,32,предик,0
в,31,case,31,case,32,обст,32,обст,0
греции,33,obl,33,obl,30,предл,30,предл,0
было,33,cop,33,cop,27,примыкат,27,примыкат,0
немало,27,parataxis,27,parataxis,32,присвяз,32,присвяз,0
),33,punct,33,punct,33,punct,31,punct,0
урезало,20,acl,20,acl,22,подч-союзн,22,подч-союзн,0
.,3,punct,3,punct,3,punct,3,punct,0
один,2,amod,2,nummod,2,опред,2,опред,0
институт,0,root,0,root,0,root,0,root,0
",",4,punct,4,punct,4,punct,4,punct,0
работа,2,conj,2,conj,2,сочин,2,сочин,0
",",7,punct,7,punct,7,punct,7,punct,0
другой,7,amod,7,amod,7,опред,7,опред,0
институт,2,conj,2,conj,4,сочин,4,сочин,0
.,2,punct,2,punct,2,punct,2,punct,0
-,3,punct,3,punct,3,punct,3,punct,0
речь,3,nsubj,3,nsubj,3,предик,3,предик,0
шла,0,root,0,root,0,root,0,root,0
не,7,advmod,7,advmod,5,огранич,5,огранич,0
о,7,case,7,case,3,1-несобст-компл,3,1-несобст-компл,0
прорывных,7,amod,7,amod,7,опред,7,опред,0
идеях,3,obl,3,obl,5,предл,5,предл,0
в,9,case,9,case,7,атриб,7,атриб,0
области,7,nmod,7,nmod,8,предл,8,предл,0
экономической,11,amod,11,amod,11,опред,11,опред,0
теории,9,nmod,9,nmod,9,квазиагент,9,квазиагент,0
",",17,punct,17,punct,17,punct,17,punct,0
а,17,cc,17,cc,5,сочин,5,сочин,0
главным,15,amod,15,amod,15,опред,15,опред,0
образом,17,nmod,17,nmod,16,огранич,16,огранич,0
о,17,case,17,case,13,соч-союзн,13,соч-союзн,0
том,7,conj,7,conj,16,предл,16,предл,0
",",20,punct,20,punct,20,punct,20,punct,0
что,20,obj,20,obj,20,1-компл,20,1-компл,0
делать,17,acl,17,acl,17,эксплет,17,эксплет,0
в,24,case,24,case,20,обст,20,обст,0
связи,21,fixed,21,fixed,21,предл,21,предл,0
с,21,fixed,21,fixed,22,1-компл,22,1-компл,0
истечением,20,obl,20,obl,23,предл,23,предл,0
срока,24,nmod,24,nmod,24,квазиагент,24,квазиагент,0
действия,25,nmod,25,nmod,25,квазиагент,25,квазиагент,0
программы,26,nmod,26,nmod,26,квазиагент,26,квазиагент,0
"""",29,punct,29,punct,29,punct,29,punct,0
нефть,27,appos,27,appos,27,аппоз,27,аппоз,0
в,31,case,31,case,29,атриб,29,атриб,0
обмен,29,nmod,29,nmod,30,предл,30,предл,0
на,33,case,33,case,31,2-компл,31,2-компл,0
продовольствие,31,nmod,31,nmod,32,предл,32,предл,0
"""",29,punct,29,punct,29,punct,29,punct,0
",",37,punct,39,punct,37,punct,37,punct,0
как,37,advmod,37,advmod,37,обст,37,обст,0
быть,20,conj,39,cop,20,сочин,20,сочин,0
с,39,case,39,case,37,обст,37,присвяз,0
системой,37,obl,24,conj,38,предл,38,предл,0
рационирования,39,nmod,39,nmod,39,квазиагент,39,квазиагент,0
продуктов,40,nmod,40,nmod,40,1-компл,40,1-компл,0
питания,41,nmod,41,nmod,41,атриб,41,квазиагент,0
.,3,punct,3,punct,3,punct,3,punct,0
против,8,case,8,case,9,обст,10,2-компл,0
прорвавшейся,8,acl,8,acl,8,опред,8,опред,0
к,4,case,4,case,2,2-компл,2,2-компл,0
городу,2,obl,2,obl,3,предл,3,предл,0
16-й,8,amod,8,amod,8,опред,8,опред,0
немецкой,8,amod,8,amod,8,опред,8,опред,0
танковой,8,amod,8,amod,8,опред,8,опред,0
дивизии,10,obl,10,obl,1,предл,1,предл,0
были,10,aux:pass,10,aux:pass,0,root,0,root,0
брошены,0,root,0,root,9,пасс-анал,9,пасс-анал,0
танковый,12,amod,12,amod,12,опред,12,опред,0
корпус,10,nsubj:pass,10,nsubj:pass,9,предик,9,предик,0
",",15,punct,15,punct,15,punct,15,punct,0
стрелковая,15,amod,15,amod,15,опред,15,опред,0
дивизия,12,conj,12,conj,12,сочин,12,сочин,0
нквд,15,nmod,15,nmod,15,квазиагент,15,квазиагент,0
",",18,punct,18,punct,18,punct,18,punct,0
батальоны,12,conj,12,conj,15,сочин,15,сочин,0
рабочего,20,amod,20,amod,20,опред,20,опред,0
ополчения,18,nmod,18,nmod,18,квазиагент,18,1-компл,0
и,23,cc,23,cc,18,сочин,18,сочин,0
другие,23,amod,23,amod,23,опред,23,опред,0
подкрепления,12,conj,12,conj,21,соч-союзн,21,соч-союзн,0
",",25,punct,25,punct,25,punct,25,punct,0
подоспевшие,23,acl,23,acl,23,опред,23,опред,0
из,27,case,27,case,25,1-компл,25,1-компл,0
сталинграда,25,obl,25,obl,26,предл,26,предл,0
.,10,punct,10,punct,10,punct,10,punct,0
финальная,3,amod,3,amod,3,опред,3,опред,0
же,1,advmod,1,advmod,1,огранич,1,огранич,0
статья,5,nsubj:pass,5,nsubj:pass,4,предик,4,предик,0
будет,5,aux:pass,5,aux:pass,0,root,0,root,0
посвящена,0,root,0,root,4,пасс-анал,4,пасс-анал,0
совершенно,7,obl,7,obl,7,огранич,7,огранич,0
другой,8,amod,8,amod,8,опред,8,опред,0
теме,5,iobj,5,iobj,5,2-компл,5,2-компл,0
.,5,punct,5,punct,5,punct,5,punct,0
потому,3,mark,3,mark,0,root,0,root,0
что,1,fixed,1,fixed,1,эксплет,1,эксплет,0
запомнит,0,root,0,root,2,подч-союзн,2,подч-союзн,0
",",10,punct,10,punct,10,punct,10,punct,0
кто,10,nsubj,10,nsubj,10,предик,10,предик,0
и,7,cc,7,cc,5,сочин,5,сочин,0
что,5,conj,5,conj,6,соч-союзн,6,соч-союзн,0
про,9,case,9,case,10,3-компл,10,3-компл,0
него,10,obl,10,obl,8,предл,8,предл,0
говорил,3,ccomp,3,ccomp,3,1-компл,3,1-компл,0
.,3,punct,3,punct,3,punct,3,punct,0
сам,2,amod,2,amod,2,опред,2,опред,0
текст,8,nsubj:pass,8,nsubj:pass,8,предик,8,предик,0
",",2,punct,2,punct,2,punct,2,punct,0
разумеется,8,parataxis,8,parataxis,8,вводн,8,вводн,0
",",4,punct,4,punct,4,punct,4,punct,0
тоже,8,advmod,8,advmod,8,огранич,8,огранич,0
обильно,8,advmod,8,advmod,8,обст,8,обст,0
цитировался,0,root,0,root,0,root,0,root,0
в,10,case,10,case,8,обст,8,обст,0
интернете,8,obl,8,obl,9,предл,9,предл,0
.,8,punct,8,punct,8,punct,8,punct,0
-,2,punct,2,punct,2,punct,2,punct,0
запретите,0,root,0,root,0,root,0,root,0
ей,2,iobj,2,iobj,2,2-компл,2,2-компл,0
по,7,advmod,7,advmod,7,огранич,7,огранич,0
крайней,4,fixed,4,fixed,6,опред,6,опред,0
мере,4,fixed,4,fixed,4,предл,4,предл,0
летать,2,xcomp,2,xcomp,2,1-компл,2,1-компл,0
на,9,case,9,case,7,4-компл,7,обст,0
метле,7,obl,7,obl,8,предл,8,предл,0
!,9,punct,9,punct,9,punct,9,punct,0
-,12,punct,12,punct,12,punct,12,punct,0
кипятился,2,parataxis,2,parataxis,2,вводн,2,вводн,0
в,14,case,14,case,12,обст,12,обст,0
дирекции,12,obl,12,obl,13,предл,13,предл,0
уткин,12,nsubj,12,nsubj,12,предик,12,предик,0
.,2,punct,2,punct,2,punct,2,punct,0
есть,0,root,0,root,0,root,0,root,0
",",3,punct,3,punct,3,punct,3,punct,0
конечно,1,parataxis,1,parataxis,1,вводн,1,вводн,0
",",3,punct,6,punct,3,punct,6,punct,0
какое-то,6,det,6,det,6,опред,6,опред,0
количество,1,nsubj,1,nsubj,1,предик,1,предик,0
камикадзе,6,nmod,6,nmod,6,квазиагент,6,квазиагент,0
",",12,punct,12,punct,12,punct,12,punct,0
но,12,cc,12,cc,1,сент-соч,1,сент-соч,0
мы,12,nsubj,12,nsubj,12,предик,12,предик,0
не,12,advmod,12,advmod,12,огранич,12,огранич,0
можем,1,conj,1,conj,9,соч-союзн,9,соч-союзн,0
ждать,12,xcomp,12,xcomp,12,1-компл,12,1-компл,0
от,17,case,17,case,13,2-компл,13,2-компл,0
всего,17,det,17,det,17,опред,17,опред,0
просвещенного,17,amod,17,amod,17,опред,17,опред,0
народа,13,obl,13,obl,14,предл,14,предл,0
",",21,punct,21,punct,21,punct,21,punct,0
что,21,mark,21,mark,13,1-компл,13,1-компл,0
каждый,21,nsubj,21,nsubj,21,предик,21,предик,0
пойдет,13,ccomp,13,ccomp,19,подч-союзн,19,подч-союзн,0
за,24,case,24,case,21,обст,21,обст,0
свои,24,det,24,det,24,опред,24,опред,0
убеждения,21,obl,21,obl,22,предл,22,предл,0
на,29,case,29,case,21,2-компл,21,2-компл,0
последний,29,amod,29,amod,29,опред,29,опред,0
и,28,cc,28,cc,26,сочин,26,сочин,0
решительный,26,conj,26,conj,27,соч-союзн,27,соч-союзн,0
бой,21,obl,21,obl,25,предл,25,предл,0
.,1,punct,1,punct,1,punct,1,punct,0
теперь,5,advmod,5,advmod,5,обст,5,обст,0
и,3,advmod,3,advmod,3,огранич,3,огранич,0
повода,5,obl,5,obl,5,1-компл,5,1-компл,0
не,5,advmod,5,advmod,5,огранич,5,огранич,0
искали,0,root,0,root,0,root,0,root,0
",",8,punct,8,punct,8,punct,8,punct,0
чтобы,8,mark,8,mark,3,1-компл,5,обст,0
скучиться,3,advcl,5,advcl,7,инф-союзн,7,инф-союзн,0
для,10,case,10,case,8,обст,8,обст,0
удовольствий,8,obl,8,obl,9,предл,9,предл,0
как,14,advmod,13,obl,14,огранич,14,огранич,0
бы,11,fixed,11,fixed,11,вспом,11,вспом,0
духовного,14,amod,14,amod,14,опред,14,опред,0
родства,10,nmod,10,nmod,10,атриб,10,1-компл,0
и,16,cc,16,cc,14,сочин,14,сочин,0
удивления,14,conj,14,conj,15,соч-союзн,15,соч-союзн,0
ближнему,16,iobj,16,iobj,16,1-компл,16,1-компл,0
:,24,punct,24,punct,24,punct,24,punct,0
какой,20,det,24,det,20,опред,24,опред,0
он,24,nsubj,24,nsubj,24,предик,24,предик,0
",",20,punct,20,punct,20,punct,20,punct,0
оказывается,24,parataxis,24,parataxis,24,вводн,24,вводн,0
",",22,punct,22,punct,22,punct,22,punct,0
хороший,16,parataxis,16,parataxis,16,разъяснит,31,разъяснит,0
",",26,punct,26,punct,26,punct,26,punct,0
умный,24,conj,24,conj,24,сочин,24,сочин,0
или,28,cc,28,cc,26,сочин,26,сочин,0
талантливый,24,conj,24,conj,27,соч-союзн,27,соч-союзн,0
",",31,punct,31,punct,31,punct,31,punct,0
-,31,punct,31,punct,31,punct,31,punct,0
любили,24,parataxis,5,parataxis,24,примыкат,5,разъяснит,0
его,31,obj,31,obj,31,1-компл,31,1-компл,0
для,34,case,34,case,31,обст,31,обст,0
себя,31,obl,31,obl,33,предл,33,предл,0
.,5,punct,5,punct,5,punct,5,punct,0
но,9,cc,9,cc,0,root,0,root,0
в,5,case,5,case,9,обст,9,обст,0
то,5,det,5,det,5,опред,5,опред,0
же,3,advmod,3,advmod,3,огранич,3,огранич,0
время,9,obl,9,obl,2,предл,2,предл,0
прокофьевские,7,amod,7,amod,7,опред,7,опред,0
увлечения,9,nsubj,9,nsubj,9,предик,9,предик,0
весьма,9,obl,9,obl,9,огранич,9,огранич,0
музыкальны,0,root,0,root,1,соч-союзн,1,соч-союзн,0
:,15,punct,15,punct,15,punct,15,punct,0
"""",15,punct,15,punct,15,punct,15,punct,0
эше,15,nsubj,15,nsubj,15,предик,15,предик,0
-,12,punct,12,punct,12,punct,12,punct,0
куда,15,advmod,15,advmod,15,колич-огран,15,колич-огран,0
скромней,9,parataxis,9,parataxis,9,разъяснит,9,разъяснит,0
;,25,punct,25,punct,25,punct,25,punct,0
разбирая,25,advcl,25,advcl,25,обст,25,обст,0
ее,21,det,21,det,21,квазиагент,21,квазиагент,0
довольно,20,obl,20,obl,20,огранич,20,огранич,0
оригинальную,21,amod,21,amod,21,опред,21,опред,0
фамилию,17,obj,17,obj,17,1-компл,17,1-компл,0
",",17,punct,17,punct,17,punct,17,punct,0
я,25,nsubj,25,nsubj,25,предик,25,предик,0
случайно,25,advmod,25,advmod,25,обст,25,обст,0
натолкнулся,15,conj,15,conj,15,сент-соч,15,сент-соч,0
на,25,case,27,case,25,1-компл,25,1-компл,0
e-c-h-e,25,flat:foreign,25,flat:foreign,26,предл,26,предл,0
(,29,punct,29,punct,29,punct,29,punct,0
eche,25,flat:foreign,27,flat:foreign,27,примыкат,27,примыкат,0
),29,punct,29,punct,29,punct,29,punct,0
;,36,punct,36,punct,36,punct,36,punct,0
т.,36,cc,36,cc,36,огранич,36,огранич,0
е.,32,fixed,32,fixed,32,вспом,32,вспом,0
все,35,det,35,det,35,опред,35,опред,0
буквы,36,nsubj,36,nsubj,36,предик,36,предик,0
составляют,25,parataxis,15,conj,27,разъяснит,25,сент-соч,0
название,36,obj,36,obj,36,1-компл,36,1-компл,0
нот,37,nmod,37,nmod,37,квазиагент,37,квазиагент,0
;,51,punct,51,punct,51,punct,51,punct,0
попробовав,51,advcl,51,advcl,51,обст,51,обст,0
на,42,case,42,case,40,обст,40,обст,0
рояле,40,obl,40,obl,41,предл,41,предл,0
и,44,cc,44,cc,40,сочин,40,сочин,0
повертев,40,conj,40,conj,43,соч-союзн,43,соч-союзн,0
и,46,cc,46,advmod,47,соотнос,46,огранич,0
так,44,advmod,44,advmod,44,обст,44,обст,0
и,48,cc,48,advmod,46,сочин,46,сочин,0
сяк,46,conj,46,conj,47,соч-союзн,47,соч-союзн,0
",",40,punct,40,punct,40,punct,48,punct,0
я,51,nsubj,51,nsubj,51,предик,51,предик,0
получил,15,conj,15,conj,25,сент-соч,36,сент-соч,0
недурную,53,amod,53,amod,53,опред,53,опред,0
тему,51,obj,51,obj,51,1-компл,51,1-компл,0
",",57,punct,57,punct,57,punct,57,punct,0
которую,57,obj,57,obj,57,1-компл,57,1-компл,0
и,57,advmod,57,advmod,57,огранич,57,огранич,0
поместил,53,acl:relcl,53,acl:relcl,53,релят,53,релят,0
побочной,59,amod,59,amod,59,опред,59,опред,0
партией,57,obl,57,obl,57,обст,57,2-компл,0
в,64,case,64,case,57,2-компл,57,2-компл,0
свою,64,det,64,det,64,опред,64,опред,0
третью,64,amod,64,amod,64,опред,64,опред,0
фортепианную,64,amod,64,amod,64,опред,64,опред,0
сонату,57,obl,57,obl,60,предл,60,предл,0
",",68,punct,68,punct,68,punct,68,punct,0
которую,68,obj,68,obj,68,1-компл,68,1-компл,0
тогда,68,advmod,68,advmod,68,обст,68,обст,0
сочинял,64,acl:relcl,64,acl:relcl,64,релят,64,релят,0
…,15,punct,15,punct,15,punct,15,punct,0
"""",15,punct,15,punct,15,punct,15,punct,0
ожидается,0,root,0,root,0,root,0,root,0
",",9,punct,9,punct,9,punct,9,punct,0
что,9,mark,9,mark,1,предик,1,предик,0
во,7,case,7,case,9,обст,9,1-компл,0
всех,7,det,7,det,7,опред,7,опред,0
крупных,7,amod,7,amod,7,опред,7,опред,0
городах,9,obl,9,obl,4,предл,4,предл,0
страны,7,nmod,7,nmod,7,атриб,7,атриб,0
состоятся,1,ccomp,1,ccomp,3,подч-союзн,3,подч-союзн,0
митинги,9,nsubj,9,nsubj,9,предик,9,предик,0
работников,10,nmod,10,nmod,10,квазиагент,10,квазиагент,0
бюджетной,13,amod,13,amod,13,опред,13,опред,0
сферы,11,nmod,11,nmod,11,1-компл,11,1-компл,0
.,1,punct,1,punct,1,punct,1,punct,0
потом,3,advmod,3,advmod,3,обст,3,обст,0
люда,3,nsubj,3,nsubj,3,предик,3,предик,0
намаялась,0,root,0,root,0,root,0,root,0
с,5,case,5,case,3,1-компл,3,обст,0
ними,3,obl,3,obl,4,предл,4,предл,0
-,8,punct,7,punct,8,punct,7,punct,0
негде,8,advmod,3,parataxis,8,обст,3,разъяснит,0
хранить,3,parataxis,7,csubj,3,разъяснит,7,предик,0
.,3,punct,3,punct,3,punct,3,punct,0
между,3,case,3,case,4,обст,4,обст,0
первыми,3,amod,3,amod,3,опред,3,опред,0
двумя,4,obl,4,obl,1,предл,1,предл,0
прошло,0,root,0,root,0,root,0,root,0
160,6,nummod,6,nummod,6,количест,6,количест,0
секунд,4,nsubj,4,nsubj,4,предик,4,предик,0
",",16,punct,16,punct,16,punct,16,punct,0
то,16,cc,16,cc,16,огранич,16,огранич,0
есть,8,fixed,8,fixed,8,вспом,8,вспом,0
за,12,case,12,case,16,обст,16,обст,0
160,12,nummod,12,nummod,12,количест,12,количест,0
секунд,16,obl,16,obl,10,предл,10,предл,0
они,16,nsubj,16,nsubj,16,предик,16,предик,0
никуда,16,advmod,16,advmod,16,2-компл,16,2-компл,0
не,16,advmod,16,advmod,16,огранич,16,огранич,0
сдвинулись,4,parataxis,4,parataxis,4,разъяснит,4,разъяснит,0
.,4,punct,4,punct,4,punct,4,punct,0
-,11,punct,11,punct,11,punct,11,punct,0
наш,4,det,4,det,4,опред,4,опред,0
большой,4,amod,4,amod,4,опред,4,опред,0
бизнес,11,nsubj,11,nsubj:pass,11,предик,11,предик,0
",",6,punct,6,punct,6,punct,6,punct,0
наследник,4,appos,4,appos,4,об-аппоз,4,об-аппоз,0
криминальных,9,amod,9,amod,9,опред,9,опред,0
залоговых,9,amod,9,amod,9,опред,9,опред,0
аукционов,6,nmod,6,nmod,6,1-компл,6,1-компл,0
",",6,punct,6,punct,6,punct,4,punct,0
запуган,0,root,0,root,0,root,0,root,0
до,14,case,14,case,11,огранич,11,обст,0
такой,14,det,14,det,14,опред,14,опред,0
степени,11,obl,11,obl,12,предл,12,предл,0
",",20,punct,20,punct,20,punct,20,punct,0
что,20,mark,20,mark,13,1-компл,13,1-компл,0
ему,22,iobj,20,iobj,22,2-компл,20,дат-субъект,0
ничего,22,obj,22,obl,22,1-компл,22,1-компл,0
не,20,advmod,20,advmod,20,огранич,20,огранич,0
надо,13,ccomp,13,ccomp,16,подч-союзн,16,подч-союзн,0
"""",22,punct,22,punct,22,punct,22,punct,0
продавать,20,csubj,20,csubj,20,предик,20,предик,0
"""",22,punct,22,punct,22,punct,22,punct,0
-,22,punct,29,punct,22,punct,29,punct,0
он,29,nsubj,29,nsubj,29,предик,29,предик,0
сам,25,det,25,amod,25,опред,25,опред,0
"""",29,punct,29,punct,29,punct,29,punct,0
обманываться,29,xcomp,29,xcomp,29,1-компл,29,1-компл,0
рад,22,parataxis,20,parataxis,22,разъяснит,20,разъяснит,0
"""",29,punct,29,punct,29,punct,29,punct,0
.,11,punct,11,punct,11,punct,11,punct,0
по,2,case,2,case,8,вводн,8,вводн,0
словам,8,parataxis,8,parataxis,1,предл,1,предл,0
зинни,2,nmod,2,nmod,2,квазиагент,2,квазиагент,0
",",2,punct,2,punct,2,punct,2,punct,0
ответственность,8,nsubj,8,nsubj,8,предик,8,предик,0
за,7,case,7,case,5,1-компл,5,1-компл,0
теракты,5,nmod,5,nmod,6,предл,6,предл,0
лежит,0,root,0,root,0,root,0,root,0
на,10,case,10,case,8,1-компл,8,1-компл,0
руководстве,8,obl,8,obl,9,предл,9,предл,0
палестинской,13,amod,13,amod,13,опред,13,опред,0
национальной,13,amod,13,amod,13,опред,13,опред,0
автономии,10,nmod,10,nmod,10,1-компл,10,1-компл,0
",",16,punct,16,punct,16,punct,16,punct,0
которая,16,nsubj,16,nsubj,16,предик,16,предик,0
должна,13,acl:relcl,13,acl:relcl,13,релят,13,релят,0
немедленно,16,advmod,18,advmod,16,обст,18,обст,0
принять,16,xcomp,16,xcomp,16,1-компл,16,1-компл,0
меры,18,obj,18,obj,18,1-компл,18,1-компл,0
в,22,case,22,case,19,атриб,19,атриб,0
отношении,20,fixed,20,fixed,20,предл,20,предл,0
террористов,19,nmod,19,nmod,21,квазиагент,21,квазиагент,0
.,8,punct,8,punct,8,punct,8,punct,0
капитализм,3,obj,2,nsubj,3,1-компл,2,предик,0
должен,0,root,0,root,0,root,0,root,0
сменить,2,xcomp,2,xcomp,2,1-компл,2,1-компл,0
социализм,2,nsubj,3,obj,2,предик,3,1-компл,0
",",12,punct,12,punct,12,punct,12,punct,0
социалистическая,7,amod,7,amod,7,опред,7,опред,0
революция,12,nsubj,12,nsubj,10,предик,10,предик,0
1917,9,amod,9,amod,9,опред,9,опред,0
года,7,nmod,7,nmod,7,атриб,7,атриб,0
есть,12,cop,12,cop,2,сент-соч,2,сент-соч,0
первая,12,amod,12,amod,12,опред,12,опред,0
ласточка,2,conj,2,conj,10,присвяз,10,присвяз,0
этой,15,det,15,det,15,опред,15,опред,0
глобальной,15,amod,15,amod,15,опред,15,опред,0
трансформации,12,nmod,12,nmod,12,атриб,12,атриб,0
.,2,punct,2,punct,2,punct,2,punct,0
вот,0,root,0,root,0,root,0,root,0
дневник,1,nsubj,1,nsubj,1,предик,1,предик,0
главного,4,amod,4,amod,4,опред,4,опред,0
инженера,2,nmod,2,nmod,2,квазиагент,2,квазиагент,0
пятой,6,amod,6,amod,6,опред,6,опред,0
гэс,4,nmod,4,nmod,4,атриб,4,1-компл,0
льва,4,appos,4,appos,4,аппоз,4,аппоз,0
абрамовича,7,flat:name,7,flat:name,7,аппоз,7,аппоз,0
ходоркова,7,flat:name,7,flat:name,8,аппоз,8,аппоз,0
.,1,punct,1,punct,1,punct,1,punct,0
чемоданами,2,obl,2,obl,2,обст,2,1-компл,0
возить,0,root,0,root,0,root,0,root,0
по,4,case,4,case,2,обст,2,3-компл,0
регионам,2,obl,2,obl,3,предл,3,предл,0
?,2,punct,2,punct,2,punct,2,punct,0
нескольких,4,obl,4,obl,4,1-компл,4,1-компл,0
над,3,case,3,case,4,обст,1,атриб,0
землей,4,obl,1,nmod,2,предл,2,предл,0
срезали,0,root,0,root,0,root,0,root,0
короткие,6,amod,6,amod,6,опред,6,опред,0
очереди,4,nsubj,4,obj,4,предик,4,предик,0
.,4,punct,4,punct,4,punct,4,punct,0
и,2,cc,2,cc,0,root,0,root,0
нервно,0,root,0,root,1,соч-союзн,1,соч-союзн,0
",",8,punct,8,punct,8,punct,8,punct,0
тем,8,obl,8,obl,8,обст,8,огранич,0
самым,4,amod,4,amod,4,опред,4,опред,0
как,8,advmod,8,advmod,8,огранич,8,огранич,0
бы,6,fixed,6,fixed,6,вспом,6,вспом,0
признавая,2,conj,2,conj,2,сочин,2,обст,0
",",13,punct,13,punct,13,punct,13,punct,0
что,13,mark,13,mark,8,1-компл,8,1-компл,0
удар,13,nsubj,13,nsubj,13,предик,13,предик,0
москвы,11,nmod,11,nmod,11,квазиагент,11,квазиагент,0
достиг,8,ccomp,8,ccomp,10,подч-союзн,10,подч-союзн,0
цели,13,obl,13,obl,13,1-компл,13,1-компл,0
.,2,punct,2,punct,2,punct,2,punct,0
с,2,case,2,case,26,обст,26,обст,0
конца,26,obl,26,obl,1,предл,1,предл,0
xx,4,amod,4,amod,4,опред,4,опред,0
века,2,nmod,2,nmod,2,квазиагент,2,квазиагент,0
виртуализация,26,nsubj,26,nsubj,26,предик,26,предик,0
-,7,punct,7,punct,7,punct,7,punct,0
использование,5,appos,5,parataxis,5,аппоз,5,разъяснит,0
сетевой,9,amod,9,amod,9,опред,9,опред,0
структуры,7,nmod,7,nmod,7,1-компл,7,1-компл,0
",",12,punct,12,punct,12,punct,12,punct,0
массированных,12,amod,12,amod,12,опред,12,опред,0
коммуникаций,9,conj,9,conj,9,сочин,9,сочин,0
",",14,punct,14,punct,14,punct,14,punct,0
рекламы,9,conj,9,conj,12,сочин,12,сочин,0
и,16,cc,16,cc,14,сочин,14,сочин,0
pr,9,conj,9,conj,15,соч-союзн,15,соч-союзн,0
для,18,case,18,case,7,атриб,7,2-компл,0
построения,7,nmod,7,nmod,17,предл,17,предл,0
компании,18,nmod,18,nmod,18,1-компл,18,1-компл,0
-,21,punct,21,punct,21,punct,21,punct,0
бренда,19,appos,19,appos,19,аппоз,19,аппоз,0
